author,title,journal,month,year,volume2,number,publisher,pages,annote
"Janzen, David and Saiedian, Hossein","Test-driven development concepts, taxonomy, and future direction",Computer,0,2005,38,9,IEEE,50,0
"Williams, Laurie and Maximilien, E Michael and Vouk, Mladen",Test-driven development as a defect-reduction practice,unknown ,0,0,0,0,IEEE,45,0
"Shull, Forrest and Melnik, Grigori and Turhan",What do we know about test-driven development?,IEEE software,0,2010,27,6,IEEE,19,0
"George, Boby and Williams, Laurie",A structured experiment of test-driven development,Information and software Technology,0,2004,46,5,Elsevier,342,0
"Siniaalto, Maria and Abrahamsson, Pekka",A Comparative Case Study on the Impact of Test-Driven Development on Program Design and Test Coverage,arXiv.org,11,2017,0,0,unknown,0,0
"Desai, Chetan and Janzen, David and Savage, Kyle",A survey of evidence for test-driven development in academia,ACM SIGCSE Bulletin,0,2008,40,2,"ACM New York, NY, USA",101,0
